id,type,kz,ru,example_kz,example_ru,category,status,difficulty,source,tags
70,word,барыс,ход; процесс,Жұмыстың барысы туралы хабарлаңыз.,Сообщите о ходе работы.,official,learning,2,work_documents,отчет
71,word,кезекті,очередной,Кезекті отырыс тамызда өтеді.,Очередное заседание пройдет в августе.,official,learning,2,work_documents,совещание
72,word,жолдау,направить; отправить,Ақпаратты жолдауыңызды сұраймын.,Прошу направить информацию.,official,learning,3,work_documents,деловая переписка
73,word,пысықтау,проработать; детально изучить,Мәселені пысықтау керек.,Нужно проработать вопрос.,official,learning,3,work_documents,управление
74,word,жандандыру,активизировать,Жұмысты жандандыру қажет.,Необходимо активизировать работу.,official,learning,3,work_documents,управление
75,word,қолжетімділік,доступ; доступность,Деректер базасына қолжетімділік ашылды.,Открыт доступ к базе данных.,official,learning,3,work_documents,доступ
76,word,сәйкестік,соответствие,Талаптарға сәйкестігін анықтау керек.,Нужно определить соответствие требованиям.,official,learning,3,work_documents,требования
77,word,ынталандыру,мотивировать; стимулировать,Қызметкерлерді ынталандыру маңызды.,Важно мотивировать сотрудников.,official,learning,3,work_documents,персонал
78,word,сыйлықақы,премия,Сыйлықақы төлеу мәселесі қаралды.,Рассмотрен вопрос выплаты премии.,official,learning,3,work_documents,персонал
79,word,икемді,гибкий,Икемді жұмыс кестесі ұсынылды.,Предложен гибкий график работы.,official,learning,2,work_documents,график
80,word,түзету,корректировка; исправление,Жоспарға түзету енгізілді.,В план внесена корректировка.,official,learning,2,work_documents,план
81,word,өзектендіру,актуализировать; обновить,Сайтты өзектендіру керек.,Нужно актуализировать сайт.,official,learning,3,work_documents,обновление
82,word,сүйемелдеу,сопровождение; поддержка,Ақпараттық сүйемелдеу қажет.,Необходимо информационное сопровождение.,official,learning,3,work_documents,поддержка
101,phrase,жауапкершілік жүктеу,возложить ответственность,Жауапкершілікті жауапты бөлімге жүктеу керек.,Нужно возложить ответственность на ответственный отдел.,office,learning,3,personal_dictionary,управление
102,phrase,белгіленген мерзім,установленный срок,Жоба белгіленген мерзімде аяқталуы тиіс.,Проект должен быть завершен в установленный срок.,office,learning,2,personal_dictionary,срок
103,phrase,жауапты тұлға,ответственное лицо,Жауапты тұлға белгіленуі тиіс.,Ответственное лицо должно быть назначено.,office,learning,2,personal_dictionary,управление
104,phrase,атқарылған жұмыс,выполненная работа,Атқарылған жұмыс туралы есеп беріңіз.,Предоставьте отчет о выполненной работе.,office,learning,2,personal_dictionary,отчет
105,phrase,қорытынды шығару,подвести итоги,Отырыстың қорытындысын шығару керек.,Нужно подвести итоги заседания.,office,learning,3,personal_dictionary,совещание
106,phrase,шешім қабылдау,принять решение,Бүгін нақты шешім қабылдау керек.,Сегодня нужно принять конкретное решение.,office,learning,2,personal_dictionary,решение
107,phrase,мерзімді нақтылау,уточнить срок,Жобаның мерзімін нақтылау керек.,Нужно уточнить срок проекта.,office,learning,2,personal_dictionary,срок
108,phrase,ұсыныстарды ескеру,учесть предложения,Команданың ұсыныстарын ескеру керек.,Нужно учесть предложения команды.,office,learning,2,personal_dictionary,команда
109,phrase,орындалуын қадағалау,контролировать выполнение,Тапсырманың орындалуын қадағалау керек.,Нужно контролировать выполнение поручения.,office,learning,3,personal_dictionary,контроль
110,phrase,жұмысын үйлестіру,координировать работу,Бөлімдердің жұмысын үйлестіру керек.,Нужно координировать работу отделов.,office,learning,3,personal_dictionary,управление
111,phrase,орындалуын қамтамасыз ету,обеспечить выполнение,Жоспардың орындалуын қамтамасыз ету керек.,Нужно обеспечить выполнение плана.,office,learning,3,personal_dictionary,управление
112,phrase,оң ықпал ету,положительно влиять,Бұл шешім жұмысқа оң ықпал етеді.,Это решение положительно влияет на работу.,office,learning,3,personal_dictionary,влияние
113,phrase,талдау жүргізу,провести анализ,Деректерге толық талдау жүргізу керек.,Нужно провести полный анализ данных.,office,learning,2,personal_dictionary,аналитика
114,phrase,құжатты келісу,согласовать документ,Құжатты басшылықпен келісу керек.,Нужно согласовать документ с руководством.,office,learning,2,personal_dictionary,документ
115,phrase,уақтылы хабарлау,своевременно сообщить,Нәтиже туралы уақтылы хабарлау керек.,Нужно своевременно сообщить о результате.,office,learning,2,personal_dictionary,коммуникация
116,phrase,бірлесіп талқылау,совместно обсудить,Ұсыныстарды бірлесіп талқылаймыз.,Совместно обсудим предложения.,office,learning,2,personal_dictionary,совещание
117,phrase,кезең-кезеңмен жүзеге асыру,реализовывать поэтапно,Жобаны кезең-кезеңмен жүзеге асырамыз.,Будем реализовывать проект поэтапно.,office,learning,3,personal_dictionary,проект
118,phrase,деректерге негізделген,основанный на данных,Біз деректерге негізделген тәсілді қолданамыз.,"Мы используем подход, основанный на данных.",it_ai,learning,3,personal_dictionary,данные
119,phrase,бағдарламалық жасақтама,программное обеспечение,Бағдарламалық жасақтаманы жаңарту керек.,Нужно обновить программное обеспечение.,it_ai,learning,2,personal_dictionary,ПО
120,phrase,оқу үдерісіне енгізу,внедрить в учебный процесс,Жүйені оқу үдерісіне енгізу керек.,Нужно внедрить систему в учебный процесс.,it_ai,learning,3,personal_dictionary,образование
121,phrase,үлкен көлемдегі деректер,данные большого объёма,Жүйе үлкен көлемдегі деректерді өңдейді.,Система обрабатывает данные большого объёма.,it_ai,learning,3,personal_dictionary,данные
122,phrase,ақпараттық қауіпсіздік,информационная безопасность,Ақпараттық қауіпсіздікті қамтамасыз ету қажет.,Необходимо обеспечить информационную безопасность.,it_ai,learning,2,personal_dictionary,безопасность
123,phrase,осы саладағы сарапшылардың назарына,вниманию экспертов в данной сфере,Осы саладағы сарапшылардың назарына маңызды ақпарат ұсынылады.,Вниманию экспертов в данной сфере представляется важная информация.,official,learning,4,work_documents,официальная речь
124,phrase,қажеттілікке байланысты,в связи с необходимостью,Қажеттілікке байланысты жоспарға өзгеріс енгізіледі.,В связи с необходимостью в план вносится изменение.,official,learning,3,work_documents,официальная речь
125,phrase,орындалу барысы,ход исполнения,Тапсырмалардың орындалу барысы қаралады.,Будет рассмотрен ход исполнения поручений.,official,learning,3,work_documents,протокол
126,phrase,кезекті отырыс,очередное заседание,Кезекті отырыс тамыз айында өтеді.,Очередное заседание состоится в августе.,official,learning,2,work_documents,совещание
127,phrase,ақпаратты жолдауыңызды сұраймын,прошу направить информацию,Ақпаратты белгіленген мерзімге дейін жолдауыңызды сұраймын.,Прошу направить информацию до установленного срока.,official,learning,4,work_documents,деловая переписка
128,phrase,мәселені пысықтау,проработать вопрос,"Мәселені пысықтап, ұсыныс беру керек.",Нужно проработать вопрос и внести предложение.,official,learning,3,work_documents,управление
129,phrase,жұмысты жандандыру,активизировать работу,Бұл бағыттағы жұмысты жандандыру қажет.,Необходимо активизировать работу в этом направлении.,official,learning,3,work_documents,управление
130,phrase,қолжетімділікті қамтамасыз ету,обеспечить доступ,Халықаралық базаға қолжетімділікті қамтамасыз ету керек.,Нужно обеспечить доступ к международной базе.,official,learning,3,work_documents,доступ
131,phrase,талаптарға сәйкестігін анықтау,определить соответствие требованиям,Құжаттардың талаптарға сәйкестігін анықтау керек.,Нужно определить соответствие документов требованиям.,official,learning,4,work_documents,требования
132,phrase,жұмыс кестесін икемді ету,сделать график работы гибким,ПОҚ-тың жұмыс кестесін икемді ету қажет.,Необходимо сделать график работы ППС гибким.,official,learning,3,work_documents,график
133,phrase,жоспарға түзету енгізу,внести корректировку в план,Даму жоспарына түзету енгізу керек.,Нужно внести корректировку в план развития.,official,learning,3,work_documents,план
134,phrase,сайтты өзектендіру,актуализировать сайт,Сыртқы сайтты өзектендіру қажет.,Необходимо актуализировать внешний сайт.,official,learning,3,work_documents,обновление
135,phrase,ақпараттық сүйемелдеу,информационное сопровождение,Іс-шараға ақпараттық сүйемелдеу қажет.,Мероприятию необходимо информационное сопровождение.,official,learning,3,work_documents,поддержка
